object_type,text,x,y,width,height
text,NAME,602,59,205,53
text,Profile_Information_1,598,159,208,19
text,Profile_Information_2,598,195,212,19
text,Profile_Information_3,598,230,212,19
text,Profile_Information_4,598,266,212,19
text,WORK_EXPERIENCE,597,343,352,28
text,POSITION_1,598,410,162,33
text,Company_1A,1008,414,163,21
text,2020A-2023A,1192,415,163,15
text,CONTACT_ME,156,448,228,28
text,Position_1_Project_1,598,455,195,28
text,«,606,510,6,6
text,Position_1_Project_1_Project_Info_1,630,504,306,18
text,Phone_Number,172,533,135,26
text,e,606,542,6,6
text,Position_1_Project_1_Project_Info_2,630,536,309,18
text,e,606,574,6,6
text,Position_1_Project_1_Project_Info_3,630,567,309,18
text,Email,172,591,46,14
text,«,606,605,6,6
text,Position_1_Project_1_Project_Info_4,630,599,309,18
text,«,606,637,6,6
text,Position_1_Project_1_Project_Info_5,630,631,309,18
text,Kaggle,172,644,59,18
text,e,606,669,6,6
text,Position_1_Project_1_Project_Info_6,630,662,309,18
text,Address_Line_1,171,691,132,16
text,Address_Line_2,171,713,134,16
text,Position_1_Project_2,598,715,198,19
text,«,606,766,6,6
text,Position_1_Project_2_Project_Info_1,630,760,306,18
text,¢,606,798,6,6
text,Position_1_Project_2_Project_Info_2,630,792,309,18
text,«,606,829,6,6
text,Position_1_Project_2_Project_Info_3,630,823,309,18
text,AWARDS,196,834,146,25
text,«,606,861,6,6
text,Position_1_Project_2_Project_Info_4,630,855,309,18
text,*,606,893,6,6
text,Position_1_Project_2_Project_Info_5,630,887,309,18
text,om,254,933,2,2
text,A,288,933,2,2
text,q,364,933,2,2
text,e,606,924,6,7
text,Position_1_Project_2_Project_Info_6,630,918,309,18
text,Award_1_with_information,142,932,248,19
text,Award_2_with_information,142,976,248,27
text,POSITION_2,598,976,166,47
text,Company_1B,1008,994,162,21
text,2020B-2023B,1192,995,163,15
text,Award_3_with_information,142,1025,248,27
text,Position_2_Project_1,598,1025,195,38
text,Award_4_with_information,142,1073,248,28
text,e,606,1090,6,6
text,Position_2_Project_1_Project_Info_1,630,1084,306,18
text,«,606,1122,6,6
text,Position_2_Project_1_Project_Info_2,630,1116,309,18
text,Award_5_with_information,142,1125,248,19
text,«,606,1154,6,6
text,Position_2_Project_1_Project_Info_3,630,1147,309,18
text,Award_6_with_information,142,1169,248,30
text,e,606,1185,6,6
text,Position_2_Project_1_Project_Info_4,630,1179,309,18
text,«,606,1217,6,6
text,Position_2_Project_1_Project_Info_5,630,1211,309,18
text,«,606,1249,6,6
text,Position_2_Project_1_Project_Info_6,630,1242,309,18
text,Position_2_Project_2,598,1295,198,19
text,*,606,1346,6,6
text,Position_2_Project_2_Project_Info_1,630,1340,306,18
text,«,606,1378,6,6
text,Position_2_Project_2_Project_Info_2,630,1371,309,18
text,¢,606,1409,6,6
text,Position_2_Project_2_Project_Info_3,630,1403,309,18
text,«,606,1441,6,6
text,Position_2_Project_2_Project_Info_4,630,1435,309,18
text,«,606,1473,6,6
text,Position_2_Project_2_Project_Info_5,630,1466,309,18
text,«,606,1504,6,6
text,Position_2_Project_2_Project_Info_6,630,1498,309,18
text,POSITION_3,598,1584,166,33
text,Company_1C,1005,1588,163,21
text,2020C-2023C,1190,1588,165,16
text,Position_3_Project_1,598,1634,195,19
text,e,606,1685,6,6
text,Position_3_Project_1_Project_Info_1,630,1678,306,18
text,¢,606,1716,6,6
text,Position_3_Project_1_Project_Info_2,630,1710,309,18
text,«,606,1748,6,6
text,Position_3_Project_1_Project_Info_3,630,1742,309,18
text,«,606,1780,6,6
text,Position_3_Project_1_Project_Info_4,630,1773,309,18
text,¢,606,1811,6,6
text,Position_3_Project_1_Project_Info_5,630,1805,309,18
text,e,606,1843,6,6
text,Position_3_Project_1_Project_Info_6,630,1837,309,18
structural,,0,0,546,2000
