object_type,text,x,y,width,height
structural,,605,1842,9,9
structural,,605,1810,9,9
structural,,605,1779,9,9
structural,,605,1747,9,9
structural,,605,1715,9,9
structural,,605,1684,9,9
structural,,605,1503,9,9
structural,,605,1472,9,9
structural,,605,1440,9,9
structural,,605,1408,9,9
structural,,605,1377,9,9
structural,,605,1345,9,9
structural,,605,1248,9,9
structural,,605,1216,9,9
structural,,605,1184,9,9
structural,,112,1165,16,16
structural,,605,1153,9,9
structural,,605,1121,9,9
structural,,112,1117,16,16
structural,,605,1089,9,9
structural,,112,1069,16,16
structural,,112,1021,16,16
structural,,112,973,16,16
structural,,112,925,16,15
structural,,605,923,9,10
structural,,605,892,9,9
structural,,605,860,9,9
structural,,605,828,9,9
structural,,93,803,356,86
structural,,605,797,9,9
structural,,605,765,9,9
structural,,125,694,24,30
structural,,605,668,9,9
structural,,124,644,25,26
structural,,605,636,9,9
structural,,605,604,9,9
structural,,123,591,27,24
structural,,605,573,9,9
structural,,605,541,9,9
structural,,122,535,29,29
structural,,605,509,9,9
structural,,93,417,356,87
structural,,115,41,311,311
structural,,536,0,5,2000
